source_line,category,selector,contract
1,token-base,:root,""
37,token-base,":root[data-hand=""rock-salt""]",""
43,token-base,":root[data-hand=""architects-daughter""]",""
49,token-base,":root[data-hand=""patrick-hand""]",""
55,token-base,":root[data-hand=""gochi-hand""]",""
61,token-base,":root[data-hand=""sans""]",""
74,token-base,":root:not([data-theme=""light""])",""
88,token-base,":root[data-theme=""dark""]",""
102,token-base,*,""
108,token-base,body,""
117,token-base,button,""
117,token-base,input,""
122,token-base,button,""
122,token-base,a,""
127,token-base,.visually-hidden,""
139,reusable-component,.flash,test selector
148,reusable-component,.flash--alert,test selector
152,reusable-component,.daily-log,test selector
162,reusable-component,.daily-log__header,""
171,page-specific-layout,.daily-log__open-count,""
171,reusable-component,.day-navigation,test selector
171,reusable-component,.entry__glyph,test selector
171,reusable-component,.entry__meta,test selector
171,reusable-component,.tab-bar,test selector
179,reusable-component,.daily-log h1,test selector
190,page-specific-layout,.collection-page__header,""
194,page-specific-layout,.collection-page__heading,test selector
198,page-specific-layout,.collection-page__heading h1,test selector
202,page-specific-layout,.collection-page__context,test selector
209,page-specific-layout,.collection-page__button,""
209,page-specific-layout,.collection-page__back,test selector
224,page-specific-layout,.collection-page__button:focus-visible,keyboard focus
224,page-specific-layout,.collection-page__back:focus-visible,keyboard focus; test selector
224,page-specific-layout,.collection-index__topic-link:focus-visible,keyboard focus; test selector
224,page-specific-layout,.collection-form input:focus-visible,keyboard focus
232,page-specific-layout,.collection-page__button--warn,""
232,reusable-component,.form-errors,test selector
237,page-specific-layout,.collection-panel,""
242,behavior-test-hook,.collection-panel[hidden],HTML hidden state
246,page-specific-layout,.collection-form,""
253,page-specific-layout,.collection-form label,""
258,page-specific-layout,".collection-form input[type=""text""]",""
268,reusable-component,.form-errors,test selector
272,page-specific-layout,.collection-index__empty,test selector
278,page-specific-layout,.collection-index__topics,test selector
283,page-specific-layout,.collection-index__topic-link,test selector
294,page-specific-layout,.collection-index__locate-toggle,""
298,page-specific-layout,.collection-page__registration,""
304,page-specific-layout,.collection-page__registration form,""
304,page-specific-layout,.collection-panel form,""
309,page-specific-layout,.collection-page__back,test selector
314,page-specific-layout,.daily-log__utilities,""
321,page-specific-layout,.daily-log__preferences,""
327,page-specific-layout,.daily-log__open-count,""
332,reusable-component,.preference-toggle__button,""
343,reusable-component,.day-navigation,test selector
350,reusable-component,.day-navigation a,test selector
359,reusable-component,.day-navigation__viewed-day,test selector
364,page-specific-layout,.monthly-log__views,test selector
373,page-specific-layout,.monthly-log__view-link,test selector
385,behavior-test-hook,".monthly-log__view-link[aria-current=""page""]",ARIA state; test selector
391,page-specific-layout,.monthly-calendar,test selector
395,page-specific-layout,.monthly-calendar__day,test selector
408,page-specific-layout,.monthly-calendar__capture-reveal,test selector
408,page-specific-layout,.monthly-calendar__date,""
425,page-specific-layout,.monthly-calendar__capture-reveal,test selector
429,page-specific-layout,.monthly-calendar__residents,""
437,page-specific-layout,.monthly-calendar__residents .entry,test selector
442,page-specific-layout,.monthly-calendar__daily-link,test selector
455,page-specific-layout,.monthly-calendar__capture-panel,test selector
462,behavior-test-hook,.monthly-calendar__day--today,test selector
466,behavior-test-hook,.monthly-calendar__day--today .monthly-calendar__number,test selector
466,behavior-test-hook,.monthly-calendar__day--today .monthly-calendar__weekday,test selector
466,dead-or-superseded,.monthly-calendar__glyph--event,no live owner found
472,page-specific-layout,.monthly-calendar__number,test selector
472,page-specific-layout,.monthly-calendar__weekday,test selector
472,page-specific-layout,.monthly-task-count,test selector
472,page-specific-layout,.future-log__month h2,test selector
472,page-specific-layout,.future-entry__day,test selector
480,page-specific-layout,.monthly-calendar__number,test selector
484,page-specific-layout,.monthly-calendar__weekday,test selector
488,page-specific-layout,.monthly-task,test selector
